WKT,name,description,Game/TV Series/Film/Books,Type of Vault
"POINT (-104.8808063 38.7372129)",Vault 0 (Also Known As: Calculator’s Lair),,Fallout Tactics,Control Vault
"POINT (-107.7415961 38.5753936)",Nursery Vault,,Fallout: Van Buren (CANCELLED GAME),Control Vault
"POINT (-101.9173774 32.7189902)",Secret Vault,,Fallout Tactics: Brotherhood of Steel,Control Vault
"POINT (-77.0198679 38.88816010000001)",Vault-Tec’s Vault of Tomorrow,,Fallout 3,Exhibition Vault
"POINT (-115.3447965 36.1621606)",Vault 3,,Fallout: New Vegas,Control Vault
"POINT (-114.8816558 35.9498989)",Vault 11,,Fallout: New Vegas,Control Vault
"POINT (-119.3240898 35.2711966)",Vault 12,,Fallout,Control Vault
"POINT (-118.29226 36.5784991)",Vault 13,,Fallout; Fallout 2,Societal Vault
"POINT (-117.0680592 36.6773802)",Vault 15,,Fallout; Fallout 2,Control Vault
"POINT (-115.4164484 36.0647755)",Vault 19,,Fallout: New Vegas,Control Vault
"POINT (-115.1512522 36.1362502)",Vault 21,,Fallout: New Vegas,Control Vault
"POINT (-73.96477 40.69956)",Vault 33,,Fallout (TV Series) (Amazon Prime Original Series),Societal Vault
"POINT (-115.0497734 36.2073385)",Vault 34,,Fallout: New Vegas,Control Vault
"POINT (-71.0644878 42.4264504)",Vault 75,,Fallout 4,Control Vault
"POINT (-71.1628855 42.3373706)",Vault 81,,Fallout 4,Control Vault
"POINT (-78.4832666 38.6638461)",Vault 87,,Fallout 3,Control Vault
"POINT (-71.03418599999999 42.243293)",Vault 88,,Fallout 4: Vault-Tec Workshop,Control Vault
"POINT (-77.0669175 39.1531788)",Vault 92,,Fallout 3,Control Vault
"POINT (-79.9372569 38.3816727)",Vault 94,,Fallout 76,Societal Vault
"POINT (-81.5354472 37.3656511)",Vault 96,,Fallout 76,Vault
"POINT (-77.2967822 38.9388941)",Vault 101,,Fallout 3,Societal Vault
"POINT (-71.3565242 42.4697024)",Vault 111,,Fallout 4,Control Vault
"POINT (-71.062365 42.356334)",Vault 114,,Fallout 4,Control Vault
"POINT (-68.2479753 44.4036704)",Vault 118,,Fallout 4: Far Harbor,Control Vault
